m v1 v2 e
0 0.0 0.0 40.5589239
248 38.93 46.63 38.526880844
495 37.14 40.1 36.50303151
743 34.09 36.98 34.470988454
990 33.0 33.15 32.44713912
1238 30.85 32.6 30.415096064
1485 29.83 28.84 28.39124673
1733 25.89 27.87 26.359203674
1980 24.83 25.79 24.33535434
2228 23.14 23.39 22.303311284
2475 21.36 21.26 20.27946195
2723 17.45 19.07 18.247418894
2970 16.34 16.18 16.22356956
3218 14.13 13.69 14.191526504
3465 12.98 12.0 12.16767717
3713 9.58 10.44 10.135634114
3960 8.72 6.96 8.11178478
4208 6.02 5.36 6.079741724
4455 4.04 3.72 4.05589239
4703 1.84 2.13 2.023849334
4950 0.0 0.0 0.0
